4-30-2018-9:17:19162,t60,0,10
34641,123,2,ABCD
34657,501,8,0F9F0ED00232022A
34785,501,8,0F960ED002300231
34833,123,2,ABCD
34897,501,8,0F980ED00231022E
35024,501,8,0F930ED0022C0229
35040,123,2,ABCD
35136,501,8,0F940ED00231022C
35232,123,2,ABCD
35263,501,8,0F980ED002330228
35280,600,1,01
35376,501,8,0F980ED4022E0224
35440,123,2,ABCD
35504,501,8,0F980ED40230022E
35616,501,8,0F900ED00228022A
35631,123,2,ABCD
35743,501,8,0F9B0ED00231022E
35775,600,1,01
35839,123,2,ABCD
35856,501,8,0F980ED0022A022C
35983,501,8,0F980ED0022A0228
36031,123,2,ABCD
36095,501,8,0F9B0ED00229022D
36222,501,8,0F940ED00228022C
36241,123,2,ABCD
36286,600,1,01
36334,501,8,0F950ECE02300228
36430,123,2,ABCD
36461,501,8,0F980ED00228022B
36574,501,8,0F9A0ED00228022A
36638,123,2,ABCD
36702,501,8,0F980ED00228022D
36781,600,1,01
36813,501,8,0F9A0ED0022E022B
36829,123,2,ABCD
36942,501,8,0F940ED0022C022C
37038,123,2,ABCD
37054,501,8,0F990ED0021D021E
37181,501,8,0F950ED002330230
37245,123,2,ABCD
37277,600,1,01
37293,501,8,0F9C0ED40230022C
37422,501,8,0F980ED0022E022F
37437,123,2,ABCD
37532,501,8,0F920ED002300230
37645,123,2,ABCD
37661,501,8,0F930ED0022B022A
37773,501,8,0F980ED0022B022B
37836,123,2,ABCD
37900,501,8,0F920ED0022C022B
38013,501,8,0F930ED002280228
38029,123,2,ABCD
38140,501,8,0F980ED00232022C
38236,123,2,ABCD
38252,501,8,0F980ED4022E022D
38283,600,1,01
38380,501,8,0F960ED40232022C
38444,123,2,ABCD
38495,501,8,0F980ED0022D022A
38620,501,8,0FA00ED0022C0232
38636,123,2,ABCD
